bin,y_pred_mean,y_true_mean,n
"(-7.724, 3.175]",2.208478031197369,1.62675701839303,25825
"(3.175, 4.497]",3.8345620656354242,3.1987685873605947,25824
"(4.497, 5.819]",5.149307723939795,4.583604399008674,25824
"(5.819, 7.283]",6.528837155448311,6.088599752168525,25824
"(7.283, 9.097]",8.147171776378276,7.994656340755082,25825
"(9.097, 11.436]",10.231245724543731,10.277416356877323,25824
"(11.436, 14.404]",12.843050487266375,13.137546468401487,25824
"(14.404, 18.417]",16.32455465227251,16.722893432465924,25824
"(18.417, 24.211]",21.0315078434266,21.526177199504335,25824
"(24.211, 82.771]",33.00840320707319,33.743891577928366,25825
