bin,mae,n
"(-0.001, 1.0]",2.8810331926425836,33047.0
"(1.0, 2.0]",2.5925730535972704,31086.0
"(2.0, 3.0]",2.293855220891561,28183.0
"(3.0, 4.0]",2.2130465218868363,30872.0
"(4.0, 5.0]",2.161887387352486,24092.0
"(5.0, 6.0]",2.191754140246049,25297.0
"(6.0, 7.0]",2.2677404723437835,19202.0
"(7.0, 8.0]",2.3709688092695362,20118.0
"(8.0, 9.0]",2.485009711615805,15846.0
"(9.0, 10.0]",2.614449210673113,17045.0
"(10.0, 12.0]",2.7373681419965985,28499.0
"(12.0, 13.0]",2.8422410791722146,12392.0
"(13.0, 15.0]",3.082507996596109,24281.0
"(15.0, 17.0]",3.3068851389836404,21716.0
"(17.0, 19.0]",3.4229776070159654,18817.0
"(19.0, 22.0]",3.6521829694623653,23875.0
"(22.0, 26.0]",3.95760732401553,22427.0
"(26.0, 32.0]",4.6003674001667765,19267.0
"(32.0, 78.0]",5.879799377850166,20896.0
